fea,fea-min,min,fea-max,max,dif,nor_dif
m-O3,147.5727233886719,-130.25110272441543,124.197265625,56.78365697442283,187.03475969883823,8.237491735058331
m-PAR,260.0,-288.5678549857428,429.0,465.3468235943696,753.9146785801124,33.20434096711601
m-SWC,0.4318062961101532,-47.347492072442456,0.6328151226043701,41.39681163814354,88.744303710586,3.9085273214805496
m-TA,18.76314735412598,-480.5255527139067,27.11684608459473,244.75592455798608,725.2814772718928,31.943261157648994
m-TP,903.1383666992188,-53.03362624760872,3962.334716796875,67.92285190368983,120.95647815129855,5.32723431022899
m-VPD,1.3729295658714382,-185.4779601793316,0.5581870284386898,209.1208110799534,394.598771259285,17.379144508467125
