fea,min,max,x-min,y-min,x-max,y-max,dif,nor_dif
w-O3-PAR,-256.3180134956022,333.9608869400823,72.93634796142578,377.0,130.9388275146484,305.0,590.2789004356845,5.25547395656851
w-O3-SWC,-186.202679159439,334.13733500140603,138.4403228759766,0.5141788721084595,127.4700241088867,0.6644927859306335,520.340014160845,4.632781878133167
w-O3-TA,-640.977857314169,264.90920974868595,90.65760040283205,24.0526065826416,114.7014083862305,5.410790920257568,905.887067062855,8.065451577257926
w-O3-TP,-181.69720562632065,557.8931271241238,144.1868743896484,2529.79248046875,146.9985961914062,623.4053344726562,739.5903327504444,6.584849516780766
w-O3-VPD,-184.70802148612884,120.84133631338868,82.82545471191406,1.20487089301077,146.4523620605469,1.441348734180845,305.5493577995175,2.7204202812879683
w-PAR-SWC,-359.8223649929424,333.14389783435274,439.0,0.4140266180038452,443.0,0.6647173762321472,692.9662628272952,6.169737973661942
w-PAR-TP,-706.6789159003316,1082.4342163997944,252.0,1921.781005859375,196.0,3374.402587890625,1789.113132300126,15.92914377460882
w-PAR-VPD,-269.7076351309182,295.3707166374511,436.0,0.735993607194541,368.0,0.473761220004427,565.0783517683693,5.031104040729476
w-SWC-TP,-181.30618366707827,161.7450746338416,0.6681761741638184,2840.35107421875,0.3833001255989075,143.3042907714844,343.05125830091987,3.0543137361640813
w-TA-PAR,-1055.8828524126748,270.9913056152451,12.51598930358887,443.0,9.764032363891602,213.0,1326.8741580279195,11.81365719833874
w-TA-SWC,-183.17683042020423,320.70019825771124,22.89101600646973,0.3920359313488007,24.0526065826416,0.6863352656364441,503.87702867791546,4.486205757270569
w-TA-TP,-368.9318582748702,368.651408073425,19.17128944396973,3610.281494140625,23.94350624084473,128.4604644775391,737.5832663482952,6.5669798534778545
w-TA-VPD,-574.9957522959027,486.93201339202767,12.7908878326416,0.317374511071418,3.863091945648193,1.3417712420295589,1061.9277656879303,9.454740313791703
w-VPD-SWC,-295.21602512266554,251.7218665576061,1.396946904003503,0.6854565739631653,1.082159777498648,0.5444157123565674,546.9378916802716,4.869592735678931
w-VPD-TP,-351.96589349462863,250.67612307137023,0.3289629420034253,1969.179809570312,1.3444880865103983,426.3486022949219,602.6420165659988,5.36554740624957
