fea,min,max,x-min,y-min,x-max,y-max,dif,nor_dif
m-O3-PAR,-138.08813288205823,101.45195819825668,153.6715087890625,417.0,109.708366394043,309.0,239.5400910803149,4.566835896966555
m-O3-SWC,-74.03034022484965,90.60339225251327,150.2425689697266,0.4885917603969574,98.96451568603516,0.4869557917118073,164.6337324773629,3.138744900439741
m-O3-TA,-100.87559121157128,97.75802286281102,93.595947265625,28.7935733795166,91.6545867919922,26.15188026428223,198.6336140743823,3.786953219429734
m-O3-TP,-151.29079817219335,142.97570438835265,91.6545867919922,2223.16259765625,91.6545867919922,638.01904296875,294.266502560546,5.610195859521985
m-O3-VPD,-52.00520952850844,68.98576295221733,139.4160461425781,1.4197530773596732,151.0064239501953,0.9305412285438588,120.99097248072576,2.3066949413015334
m-PAR-SWC,-66.01393627024406,173.3692687851986,434.0,0.4001371264457703,397.0,0.6328151226043701,239.38320505544263,4.56384486224294
m-PAR-TP,-165.55978277216653,158.73455551456578,260.0,4232.6982421875,434.0,881.4523315429688,324.29433828673234,6.182677056653133
m-PAR-VPD,-187.6680329836001,109.30391139713204,434.0,0.5586236117391222,313.0,1.3753074636115703,296.97194438073217,5.661775153684641
m-SWC-TP,-78.16389136118778,158.7963888198947,0.4882532060146332,4097.68603515625,0.3899976015090942,7355.7421875,236.96028018108248,4.517651758441493
m-TA-PAR,-297.8902669140307,1307.7832983322303,26.11217308044434,434.0,18.76314735412598,286.0,1605.673565246261,30.6121937397038
m-TA-SWC,-233.9521234827208,104.93467383958726,18.76314735412598,0.5514934659004211,29.50860023498535,0.4007169902324677,338.88679732230804,6.460882535527802
m-TA-TP,-111.6351024152668,218.56396730286465,28.02419471740723,5597.109375,22.95241737365723,5336.1376953125,330.19906971813145,6.295250861485739
m-TA-VPD,-180.9850458189524,160.68973356314154,23.6002140045166,0.9447928055274336,30.18746376037598,1.2842314213777837,341.6747793820939,6.514035460757592
m-VPD-SWC,-55.61679677470731,53.1000964792824,0.5581870284386898,0.5290480256080627,0.79651482512234,0.3899976015090942,108.71689325398972,2.072689412781986
m-VPD-TP,-205.94912910448795,198.43416416754823,1.4199786630942794,4988.109375,1.2744350282963428,7955.50634765625,404.3832932720362,7.709574341061326
